Geo,Year,TotEmp,RetEmp,SvcEmp
1819,2045,169,9,130
1820,2045,268,21,212
1821,2045,5923,573,926
1822,2045,1171,131,549
1823,2045,1572,283,765
1824,2045,1464,195,721
1825,2045,594,62,272
1826,2045,118,4,35
1827,2045,108,8,62
1828,2045,195,1,127
1829,2045,75,0,47
1830,2045,309,42,152
1831,2045,734,91,340
1832.01,2045,5577,1061,2607
1832.02,2045,2152,409,1008
1832.03,2045,72,11,34
1833.01,2045,2489,355,1467
1833.02,2045,237,18,120
1833.03,2045,4590,447,2448
1834,2045,970,138,572
1835,2045,273,39,161
1836,2045,331,18,144
1837,2045,2508,145,895
1838.01,2045,1226,71,454
1838.02,2045,541,32,194
1839,2045,2375,281,1485
1840,2045,1038,61,373
1841.01,2045,1333,158,832
1841.02,2045,4718,550,2912
1841.03,2045,7235,865,4560
1841.04,2045,1291,152,805
1842.01,2045,5109,611,3222
1842.02,2045,5497,657,3466
1843.01,2045,4456,533,2810
1843.02,2045,8552,1022,5393
1844,2045,2683,321,1692
1845.01,2045,3380,400,2121
1845.02,2045,4754,562,2981
1845.03,2045,3034,363,1913
1846.01,2045,3007,355,1885
1846.02,2045,2395,286,1510
1847.01,2045,5549,335,2705
1847.02,2045,2922,176,1424
1848.01,2045,741,137,359
1848.02,2045,5159,870,2427
1849.01,2045,1861,354,872
1849.02,2045,5427,892,2852
1850,2045,217,36,119
1851.01,2045,4589,174,3063
1851.02,2045,4821,153,3131
1852.01,2045,339,13,229
1852.02,2045,529,19,356
1853.01,2045,1039,46,695
1853.02,2045,297,20,196
1854.01,2045,352,15,237
1854.02,2045,890,39,600
1855,2045,5171,618,3261
1856,2045,294,4,265
