Geo,Year,PkgSpacesPerSFDU,PkgSpacesPerMFDU,PkgSpacesPerGQ,PropWkrPay,PropCashOut,PkgCost.2019,PropNonWrkTripPay
1987,2019,2,1.6,0,0.11,0,0,0
1988,2019,2,1.6,0,0.11,0,0.79,0
1989.01,2019,2,1.6,0,0.11,0,0,0
1989.02,2019,2,1.6,0,0.11,0,0,0
1989.03,2019,2,1.6,0,0.11,0,0,0
1990,2019,2,1.6,0,0.11,0,0.65,0
1991,2019,2,1.6,0,0.11,0,1.65,0
1992,2019,2,1.6,0,0.11,0,1.61,0
1993,2019,2,1.6,0,0.11,0,1.86,0
1994,2019,2,1.6,0,0.11,0,1.12,0
1995,2019,2,1.6,0,0.11,0,0.83,0
1996,2019,2,1.6,0,0.11,0,0,0
1997,2019,2,1.6,0,0.11,0,2.56,0
1998,2019,2,1.6,0,0.11,0,0.79,0
1999,2019,2,1.6,0,0.11,0,0,0
2000,2019,2,1.6,0,0.11,0,0,0
2001,2019,2,1.6,0,0.11,0,0,0
2002,2019,2,1.6,0,0.11,0,1.8,0
2003,2019,2,1.6,0,0.11,0,1.38,0
2004,2019,2,1.6,0,0.11,0,3.27,0
2005,2019,2,1.6,0,0.11,0,4.76,0
2006.01,2019,2,1.6,0,0.11,0,3.29,0
2006.02,2019,2,1.6,0,0.11,0,3.29,0
2007,2019,2,1.6,0,0.11,0,2.86,0
