Geo,Year,D3bp04
1931,2019,6.483925508
1932,2019,23.86092882
1933,2019,16.17778909
1934,2019,17.53988114
1935,2019,30.25246702
1936,2019,30.68943809
1937,2019,17.77261971
1938,2019,19.91336221
1939,2019,17.90164186
1940,2019,15.85996524
1941,2019,54.05354412
1942,2019,9.007321343
1943.01,2019,10.15488712
1943.02,2019,10.47010235
1943.03,2019,9.593810072
1944.01,2019,5.596254903
1944.02,2019,3.353268749
1944.03,2019,3.035537422
1944.04,2019,6.011129122
1944.05,2019,6.19898283
1944.06,2019,2.430389415
1945.01,2019,11.57331931
1945.02,2019,11.6123975
1945.03,2019,8.163168568
1946,2019,5.365173073
1947,2019,8.745719475
1948,2019,8.21835694
1949,2019,8.499389228
1950,2019,8.91806708
1951,2019,13.45731815
1952,2019,6.140630341
1953,2019,10.57512329
1954,2019,15.23997578
1955,2019,1.570045179
1956,2019,1.737722652
1957,2019,14.52334116
1958,2019,42.33749781
1959,2019,5.054617212
1960,2019,7.421831446
1961,2019,12.89387744
1962,2019,25.27732987
1963,2019,24.61916071
1964,2019,0.606614193
1965,2019,6.702412245
1966.01,2019,7.794745973
1966.02,2019,8.503252734
1967,2019,10.31859448
1968.01,2019,0.260693673
1968.02,2019,0.1467725
1969.01,2019,4.596820833
1969.02,2019,4.628177575
1970,2019,4.454773571
1971,2019,4.802651583
1972.01,2019,1.665305505
1972.02,2019,1.684129529
1972.03,2019,35.55100424
1972.04,2019,12.94581758
1973.01,2019,4.758743231
1973.02,2019,4.639785454
1973.03,2019,4.602974433
1973.04,2019,4.606184619
1974,2019,11.31119011
1975,2019,7.610804276
1976,2019,11.06040303
1977,2019,6.650294851
1978,2019,9.251240938
1979,2019,9.841247428
1980,2019,9.606569427
1981,2019,7.299427662
1982,2019,3.718834446
1983,2019,7.757699274
1984,2019,16.70675876
1985,2019,8.457644084
1986,2019,20.09979593
1987,2019,14.38093167
1988,2019,4.759688539
1989.01,2019,20.677368
1989.02,2019,18.21784399
1989.03,2019,18.45755291
1990,2019,16.96008501
1991,2019,17.14282876
1992,2019,12.26390196
1993,2019,2.452831082
1994,2019,6.14
1995,2019,9.458268825
1996,2019,2.425243952
1997,2019,10.25552657
1998,2019,7.540566704
1999,2019,7.894238921
2000,2019,9.685828261
2001,2019,9.976969707
2002,2019,20.37770509
2003,2019,14.25927165
2004,2019,10.15398687
2005,2019,8.049740404
2006.01,2019,5.990160664
2006.02,2019,5.990160664
2007,2019,6.630945672
2008,2019,10.77483273
2009,2019,9.125119205
2010,2019,16.04809892
2011,2019,9.453749705
2012.01,2019,26.18742407
2012.02,2019,24.19235197
2013.01,2019,8.029445283
2013.02,2019,9.395930187
2014,2019,27.44452453
2015,2019,22.46325044
2016,2019,22.45855962
2017,2019,22.15159843
2018.01,2019,4.600165606
2018.02,2019,4.600165606
2018.03,2019,4.603043495
2019,2019,21.8170718
2020,2019,9.651057572
2021,2019,7.176886461
2022,2019,5.286177868
2023,2019,11.14407009
2024,2019,3.260000102
2025.01,2019,3.421128802
2025.02,2019,4.043874508
2025.03,2019,3.26
2026,2019,10.75000256
2027,2019,10.37997852
2028,2019,10.75000256
2029,2019,15.55072326
2030,2019,16.03640857
2031,2019,8.736579457
2032,2019,9.625477352
2033,2019,16.49376801
2034,2019,9.719166518
2035,2019,20.39585644
2036.01,2019,1.006370351
2036.02,2019,1.885418774
2036.03,2019,0.902331634
2037,2019,12.6286774
2038,2019,26.74568726
2039,2019,22.78748044
2040,2019,14.01023926
2041,2019,4.001020584
2042,2019,1.630927085
2043,2019,7.495775802
2044.01,2019,9.378836928
2044.02,2019,2.930831853
2045,2019,3.64426909
2046,2019,9.390785285
2047.01,2019,7.676307077
2047.02,2019,9.188264913
2048,2019,3.065079617
2049,2019,6.301679324
2050,2019,11.24659671
2051,2019,21.14387979
2052,2019,7.894368345
2053,2019,10.27844684
2054,2019,6.810253577
2055,2019,12.21544334
2056,2019,13.70162547
2057,2019,9.450515439
2058,2019,14.70302931
2059,2019,9.413259096
2060,2019,5.620272932
2061.01,2019,13.76160176
2061.02,2019,14.41244786
2062.01,2019,2.482860454
2062.02,2019,3.286582118
2062.03,2019,6.056986181
2063.01,2019,5.956963931
2063.02,2019,14.58407101
